
               Hooter's 500+ BBS Listing   C-Shift BBS
Answering BBS_________________713-458-9923   TX 1200 8-Bit               
ACOM__________________________713-669-0603   TX 1200 8-Bit               
Bit Bucket____________________713-776-3699   TX 1200 BBS Express!        
The Gate______________________817-865-6352   TX 1200 z?                  
Shali_________________________512-670-1628   TX 1200 BBS Express!        
H.A.C.E.______________________713-583-8980   TX 1200 8-Bit               
Hall of Justice_______________214-790-2532   TX 1200 BBS Express!        
Pro Board_____________________512-467-6004   TX 1200 BBS Express!        
Snake Pit_____________________817-532-7775   TX 2400 Forem ST            
Abuse ST______________________817-634-7480   TX 1200 Forem ST            
Maelstrom_____________________512-697-8331   TX 1200 8-Bit               
Twilight Zone_________________011441-788-0884UK 2400 Forem ST            
Heart of Gold_________________801-964-9764   UT 1200 Forem ST            
The Repair Shop_______________801-967-8738   UT 1200 BBS Express!        
Crimson Keep II_______________801-595-8003   UT 1200 8-Bit               
Wizard's Workshop_____________801-789-6439   UT 2400 Forem ST            
Atari Connection______________801-377-1617   UT 1200 ST-Unk Software     
Matrix________________________801-628-5755   UT 1200 Forem ST            
Robotech______________________801-561-9500   UT 1200 Michtron ST         
Well of Souls_________________801-485-6349   UT 1200 Forem ST            
G.R.A.S.P. BBS________________804-744-8022   VA 1200 BBS Express!        
The Boot Factory______________804-262-9289   VA 2400 BBS Express! ST     
Midnight Express______________804-379-4156   VA 2400 BBS Express! ST     
Rivendell_____________________703-437-9380   VA 1200 Forem ST            
Gallifrey_____________________703-256-3223   VA 1200 Forem ST            
The Other Side of Reality_____703-451-4412   VA 1200 Forem ST            
WAACE ST______________________703-569-3227   VA 1200 Forem ST            
SurfBoard_____________________804-399-3915   VA 1200 BBS Express!        
Service BBS___________________804-498-9541   VA 1200 8-Bit               
Atari Nightline_______________804-495-8693   VA 1200 8-Bit               
007 BBS_______________________804-397-1007   VA 1200 8-Bit               
Dark Side_____________________804-380-8344   VA 1200 8-Bit               
Andromeda Outpost_____________703-444-9708   VA 1200 8-Bit               
Synchronicity_________________703-522-7782   VA 1200 8-Bit               
Electronic Age________________703-620-0851   VA 1200 8-Bit               
Ravenloft_____________________703-644-5734   VA 1200 8-Bit               
Luna City_____________________703-455-0040   VA 1200 8-Bit               
The 25th Century______________703-898-6537   VA 9600 Forem ST            
The Restroom__________________804-732-0953   VA 1200 8-Bit               
Skeleton Island_______________804-747-0041   VA 1200 z?                  
PSI___________________________804-794-1924   VA 1200 Z?                  
The Haunted Forest____________804-288-4564   VA 1200 z?                  
The Underground_______________804-796-5091   VA 1200 BBS Express!        
Aviator's Haven_______________804-590-9369   VA 1200 z?                  
Xanth BBS #2__________________206-823-9707   WA 2400 Forem ST            
Bytes & Pieces________________206-241-8963   WA 1200 Michtron ST         
Xanth BBS_____________________206-682-8039   WA 2400 Forem ST            
The StormBringer______________206-697-3496   WA 1200 BBS Express!        
New World_____________________206-365-6938   WA 1200 Michtron ST         
DOS File ST BBS_______________206-367-3453   WA 1200 ST-Unk Software     
The Bogus Zone________________206-833-2455   WA 1200 8-Bit               
The Farm______________________206-264-4281   WA 1200 Michtron ST         
Foundation & Empire BBS_______206-323-1330   WA 1200 Forem ST            
Asylum BBS____________________206-347-1008   WA 1200 Forem ST            
ST Bit Bucket_________________206-363-8592   WA 1200 Forem ST            
Lost Temple___________________206-235-0917   WA 1200 BBS Express!        
Action Annex__________________206-892-8969   WA 1200 z?                  
Space Butlers_________________206-941-2824   WA 1200 FOREM ST            
Suburbia 1200_________________206-488-7496   WA 1200 Forem ST            
M.O.T.________________________206-535-0574   WA 1200 Forem ST            
SIG 16________________________206-636-3403   WA 1200 ST-Unk Software     
Bauhaus BBS___________________206-672-0956   WA 1200 Forem ST            
Bargin Cellar_________________414-265-5149   WI 1200 BBS Express!        
Kenosha Atari BBS_____________414-657-7597   WI 1200 z?                  
Atari Havoc___________________414-545-6230   WI 1200 Forem ST            
Blackbeards Galleon___________414-425-7535   WI 1200 BBS Express!        
Black Hole____________________304-797-8335   WV 1200 BBS Express!        
Wood Shop_____________________304-232-1564   WV 1200 BBS Express!        
Prairie Chip__________________307-635-4152   WY 2400 z?                  


    Hooter's 500+ BBS Listing.....  C-Shift BBS  319-345-????

