:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:
:   Earth's Dreamlands    :  Info on: RPG's,  :(313)558-5024 : area code    :
:RPGNet World HQ & Archive: Drugs, Industrial :(313)558-5517 : changes to   :
:  1000's of text files   :  music, Fiction,  :InterNet      : (810) after  :
:   No Elite / No porn    :   HomeBrew Beer.  :rpgnet@aol.com: Dec 1,1993   :
:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:

List of spells for AD&D 2nd Edition.  
This list is organized alphabetically by level.


Spell                            School(s)             Where
Disruption                       Alt, Necro            Dr164
Elemental Aura                   Abj, Evoc             ToM
Elminster's Effulgent Epuration  Abj                   FRA
Elminster's Evasion              Evoc                  FRA
Energy Drain                     Evoc, Necro           PHB
Estate Transference              Alt                   ToM
Foresight                        Div                   PHB
Gate (R)                         Conj/Summ             PHB
Glorious Transmutation           Alt                   ToM
Immunity to Undeath              Abj, Alt, Necro       Dr164
Imprisonment                     Abj                   PHB
Meteor Swarm                     Evoc                  PHB
Monster Summoning VII            Conj/Summ             PHB
Mordenkainen's Disjunction       Alt, Ench             PHB
Mylsibis' Arcane Contention      Ench, Evoc, Ill       Dr166
Power Word: Kill                 Conj/Summ             PHB
Power Word: Liquify              Conj/Summ             Dr187
Prismatic Sphere                 Abj, Conj/Summ        PHB
Shape Change                     Alt                   PHB
Spell Invulnerability            Abj                   FRA
Spellstrike                      Alt                   FRA
Stabilize*                       Abj                   ToM
Succor (R)                       Alt, Ench             PHB
Temporal Stasis (R)              Alt                   PHB
Time Stop                        Alt                   PHB
Tymessul's Cerulean Traverse     Alt/Ench              Dr166
Tymessul's Planar Pacifier       Alt/Evoc              Dr166
Undead Mastery                   Necro                 FRA
Virus Charm                      Ench/Charm            FRA
Wail of the Banshee              Necro                 ToM
Weird                            Ill/Phant             PHB
Wildfire*                        Invoc/Evoc            ToM
Wildwind*                        Conj/Summ             ToM
Windwar                          Invoc/Evoc            Dr187
Wish                             Conj/Summ             PHB
Worldwalk                        Alt                   FRA


Abbreviations used:
PHB    = Player's HandBook
ToM    = Tome of Magic
FRA    = Forgotten Realms Adventures
GA     = Greyhawk Adventures
Drnnn  = Dragon Issue #nnn
CWH    = Complete Wizard's Handbook
RPGnet = file from RPGnet
other  = various AD&D modules
(R)    = Reversible spell
*      = Wild magic spell - usable only by a "wild mage"

Abj    = Abjuration              Alt    = Alteration
Conj   = Conjuration             Div    = Divination
Ench   = Enchantment             Evoc   = Evocation
Ill    = Illusion                Invoc  = Invocation
Necro  = Necromantic             Phant  = Phantasm

Spell schools are included for specialist wizards.  Those 
spells listed with two or more schools separated by a "/" can 
be cast by a specialist with access to EITHER school (ie, the 
spell "Tymessul's Cerulean Traverse", which is listed as 
"Alt/Ench", can be cast by any wizard with access to either the 
Alteration OR Enchantment schools, or both).  Spells listed 
with schools separated by a "," can be cast only by mages with 
access to BOTH schools (ie, "Succor", listed as "Alt, Ench", 
can be cast only be mages with access to Alteration AND 
Enchantment magicks). 


This list was compiled from the Player's HandBook, the Tome of 
Magic, Forgotten Realms Adventures, Greyhawk Adventures, the 
Complete Wizard's Handbook, various Dragon and Dungeon 
Magazines, published modules, and files from RPGnet.  I made 
this list for myself, but anyone is welcome to use it 
(otherwise, I wouldn't have put it on RPGnet <g>).  I included 
with each spell the book I found it, in case you'd like to look 
up exactly what the spell does.  Sooner or later, I'll finish 
the file with descriptions for all the spells from modules, 
Dragon Magazine, or Dungeon Magazine, but that is going to take 
a bit more time.... 

I neglected to add spells from the April issues of Dragon for a 
good reason - those spells are strictly for comic-relief.  If 
an individual DM wishes to use them, feel free...I just won't 
put them in this list.

If you know of any published spell(s) that I've left out, or 
any mistakes I've made, please tell me via E-mail:

                             Satan 
                      Earth's Dreamlands 
                       (RPGnet World HQ)

(I can also be located at many Detroit-area BBSes...just look 
for the distinctive handle....)


